TotalSuspiciousRecords,DomainFetched,AttackCoverage,AttackRuntime (msec),AttackSpeed (domain per msec)
15,94,0.3790322580645161,65,1.4461538461538461
15,223,0.8991935483870968,134,1.664179104477612
15,243,0.9798387096774194,107,2.2710280373831777
15,34,0.13709677419354838,15,2.2666666666666666
15,68,0.27419354838709675,32,2.125
15,77,0.31048387096774194,37,2.081081081081081
15,243,0.9798387096774194,129,1.8837209302325582
15,243,0.9798387096774194,107,2.2710280373831777
15,243,0.9798387096774194,183,1.3278688524590163
16,137,0.5524193548387096,83,1.6506024096385543
16,119,0.4798387096774194,52,2.2884615384615383
16,243,0.9798387096774194,102,2.3823529411764706
16,243,0.9798387096774194,98,2.479591836734694
16,243,0.9798387096774194,142,1.7112676056338028
16,243,0.9798387096774194,124,1.9596774193548387
16,56,0.22580645161290322,56,1.0
16,21,0.0846774193548387,17,1.2352941176470589
16,220,0.8870967741935484,144,1.5277777777777777
16,151,0.6088709677419355,71,2.1267605633802815
16,103,0.4153225806451613,49,2.1020408163265305
16,243,0.9798387096774194,114,2.1315789473684212
16,243,0.9798387096774194,138,1.7608695652173914
16,73,0.29435483870967744,35,2.085714285714286
16,180,0.7258064516129032,123,1.4634146341463414
16,243,0.9798387096774194,143,1.6993006993006994
16,243,0.9798387096774194,204,1.1911764705882353
